연번,호선,역명,호기,승강기번호,설치위치,운행구간
546,6,구산,1,0040-487,"4번 출구 측, B1-1F",B1-1F
547,6,새절,1,0042-689,"응암 방면5-4, B2-B1",B2-B1
548,6,새절,2,0042-690,"1번 출구 측, B1-1F",B1-1F
549,6,증산,1,0042-852,"새절 방면5-1, B2-B1",B2-B1
550,6,증산,2,0042-853,"디지털미디어시티 방면4-3, B2-B1",B2-B1
551,6,증산,3,0042-854,"2번 출구 측, B1-1F",B1-1F
552,6,디지털미디어시티,1,0102-251,"증산 방면3-4, B2-B1",B2-B1
553,6,디지털미디어시티,2,0102-252,"월드컵경기장 방면8-4, B2-B1",B2-B1
554,6,디지털미디어시티,3,0102-253,"4번 출구 측, B1-1F",B1-1F
555,6,월드컵경기장,1,0104-771,"디지털미디어시티 방면4-4, B3-B2",B3-B2
556,6,월드컵경기장,2,0104-772,"마포구청 방면4-4, B3-B2",B3-B2
557,6,월드컵경기장,3,0104-773,"2번 출구 측, B2-1F",B2-1F
558,6,마포구청,1,0007-233,"월드컵경기장 방면1-1, B3-B2",B3-B2
559,6,마포구청,2,0007-234,"망원 방면8-4, B3-B2",B3-B2
560,6,마포구청,3,0015-263,"8번 출구 측, B2-1F",B2-1F
561,6,마포구청,4,0070-790,"2번 출구 측, B2-1F",B2-1F
562,6,망원,1,0040-055,"마포구청 방면5-1, B2-B1",B2-B1
563,6,망원,2,0040-054,"2번 출구 측, 합정 방면4-4, B2-B1-1F",B2-B1-1F
564,6,합정,1,0039-041,"망원 방면4-2, B4-B1",B4-B1
565,6,합정,2,0039-042,"상수 방면6-2, B4-B3",B4-B3
566,6,합정,3,0039-043,"6번 출구 측, B1-1F",B1-1F
567,6,상수,1,0102-308,"합정 방면4-4, 광흥창 방면5-1, B3-B2",B3-B2
568,6,상수,2,0143-822,"3번 출구 측, B1-1F",B1-1F
569,6,상수,3,0150-002,"대합실, B2-B1",B2-B1
570,6,광흥창,1,0039-039,"1번 출구 측, B2-1F",B2-1F
571,6,광흥창,2,0039-040,"상수 방면1-2, 대흥 방면8-3, B3-B2",B3-B2
572,6,광흥창,3,0007-065,"4번 출구 측, B1-1F",B1-1F
573,6,대흥,1,0042-659,"광흥창 방면4-4, 공덕 방면5-1, B3-B2",B3-B2
574,6,대흥,2,0104-289,"대합실, B2-B1",B2-B1
575,6,공덕,1,0015-040,"대흥 방면4-4, B2-B1",B2-B1
576,6,공덕,2,0004-354,"효창공원 방면4-4, B2-B1",B2-B1
577,6,공덕,3,0004-355,"5번 출구 측, B1-1F",B1-1F
578,6,공덕,4,0104-290,"환승통로, B3-B2",B3-B2
579,6,공덕,5,0104-340,"환승통로, B3-B2",B3-B2
580,6,효창공원앞,1,0042-657,"공덕 방면5-3, 삼각지 방면4-2, B3-B2",B3-B2
581,6,효창공원앞,2,0042-658,"대합실, B2-B1",B2-B1
582,6,삼각지,1,0104-719,"효창공원앞 방면1-1, B4-B3",B4-B3
583,6,삼각지,2,0041-875,"녹사평 방면8-4, B4-B3",B4-B3
584,6,삼각지,3,0104-720,"8번 출구 측, B3-1F",B3-1F
585,6,삼각지,4,0041-877,"12번 출구 측, B3-1F",B3-1F
586,6,삼각지,5,0103-579,"환승통로, B4-B3",B4-B3
587,6,녹사평,1,0082-691,"삼각지 방면4-3, 이태원 방면5-1, B5-B4",B5-B4
588,6,녹사평,2,0082-692,"대합실, B4-B2",B4-B2
589,6,녹사평,3,0082-693,"3번 출구 측, B2-B1-1F",B2-B1-1F
590,6,이태원,1,0103-976,"녹사평 방면3-1, 한강진 방면6-3, B5-B1",B5-B1
591,6,이태원,2,0040-056,"2번 출구 측, B1-1F",B1-1F
592,6,한강진,1,0102-206,"이태원 방면5-2, B4-B3",B4-B3
593,6,한강진,2,0102-207,"버티고개 방면4-2, B4-B1",B4-B1
594,6,한강진,3,0041-868,"3번 출구 측, B1-1F",B1-1F
595,6,버티고개,1,0102-203,"한강진 방면5-3, B3-B2",B3-B2
596,6,버티고개,2,0102-204,"약수 방면4-2, B2-B1",B2-B1
597,6,버티고개,3,0102-205,"대합실, B4-B3",B4-B3
598,6,버티고개,4,0102-097,"대합실, B4-B3",B4-B3
599,6,버티고개,5,0041-895,"2번 출구 측, B1-1F",B1-1F
600,6,약수,1,0103-977,"버티고개 방면5-1, B3-B2",B3-B2
601,6,약수,2,0103-978,"청구 방면4-4, B3-B2",B3-B2
602,6,약수,3,0103-979,"버티고개 방면6-1, B3-B2-B1",B3-B2-B1
603,6,약수,4,0113-921 ,"대합실, B2-B1",B2-B1
604,6,청구,1,0104-443,"신금호 방면5-3, 동대문역사문화공원 방면4-1, B4-B3",B4-B3
605,6,청구,2,0104-444,"대합실, B3-B2-B1",B3-B2-B1
606,6,청구,3,0104-445,"대합실, B3-B2-B1",B3-B2-B1
607,6,청구,4,0104-446,"3번 출구 측, B1-1F",B1-1F
608,6,청구,5,0074-257,"1번 출구 측, B1-1F",B1-1F
609,6,신당,1,0103-494,"청구 방면5-3, 동묘앞 방면4-2, B3-B1",B3-B1
610,6,동묘앞,1,0000-962,"신당 방면5-3, 창신 방면4-2, B3-B2",B3-B2
611,6,동묘앞,2,0000-963,"신당 방면8-4, 창신 방면1-1, B3-B2",B3-B2
612,6,창신,1,0002-280,"동묘앞 방면4-2, 보문 방면5-3, B4-B1",B4-B1
613,6,창신,2,0000-959,"3,4번 출구 사이, B1-1F",B1-1F
614,6,창신,3,0125-798,"2번 출구 측, B1-1F",B1-1F
615,6,보문,1,0049-838,"창신 방면4-4 , 안암 방면5-1, B3-B2",B3-B2
616,6,안암,1,0028-813,"보문 방면5-2, B3-B2",B3-B2
617,6,안암,2,0028-814,"고려대 방면4-3, B3-B2",B3-B2
618,6,안암,3,0028-815,"1번 출구 측, B2-1F",B2-1F
619,6,고려대,1,0019-339,"안암 방면6-2, B4-B1",B4-B1
620,6,고려대,2,0053-247,"월곡 방면3-2, B4-B1",B4-B1
621,6,고려대,3,0019-340,"1번 출구 측, B1-1F",B1-1F
622,6,고려대,4,0053-248,"3,4번 출구 사이, B1-1F",B1-1F
623,6,월곡,1,0044-187,"고려대 방면4-4, B3-B2",B3-B2
624,6,월곡,2,0044-188,"상월곡 방면4-4, B3-B2",B3-B2
625,6,월곡,3,0028-819,"1,5번 출구 사이, B2-1F",B2-1F
626,6,상월곡,1,0027-999,"4번 출구 측, B2-1F",B2-1F
627,6,돌곶이,1,0054-295,"상월곡 방면4-4, B2-B1",B2-B1
628,6,돌곶이,2,0054-296,"석계 방면4-4, B2-B1",B2-B1
629,6,돌곶이,3,0044-225,"3번 출구 측, B1-1F",B1-1F
630,6,석계,1,0057-328,"돌곶이 방면3-3, B3-B2",B3-B2
631,6,석계,2,0055-103,"태릉입구 방면6-2, B3-B2",B3-B2
632,6,석계,3,0057-329,"1번 출구 측, B2-B1-1F",B2-B1-1F
633,6,석계,4,0055-102,"4번 출구 측, B2-B1-1F",B2-B1-1F
634,6,태릉입구,1,0019-107,"석계 방면5-3, B2-B1",B2-B1
635,6,태릉입구,2,0015-897,"화랑대 방면3-4, B2-B1",B2-B1
636,6,태릉입구,3,0015-898,"8번 출구 측, B1-1F",B1-1F
637,6,태릉입구,4,0113-359,"6번 출구 측, B1-1F",B1-1F
638,6,화랑대,1,0057-151,"태릉입구 방면5-4, B2-B1",B2-B1
639,6,화랑대,2,0057-152,"봉화산 방면4-1, B2-B1",B2-B1
640,6,화랑대,3,0057-153,"1번 출구 측, B1-1F",B1-1F
641,6,화랑대,4,0094-425,"7번 출구 측, B1-1F",B1-1F
642,6,봉화산,1,0054-819,"2번 출구 측, B1-1F",B1-1F
643,6,봉화산,2,0094-606,"4번 출구 측, B1-1F",B1-1F
644,6,신내,1,0136-697,"신내, 봉화산 방면8-3, 1F-2F",1F-2F
645,7,장암,1,2064-681,"1번 출구 측, 1F-2F",1F-2F
646,7,장암,2,2064-682,"1번 출구 측, 1F-2F",1F-2F
647,7,도봉산,1,0053-189,"장암 방면7-2, 1F-2F",1F-2F
648,7,도봉산,2,0053-190,"수락산 방면2-3, 1F-2F",1F-2F
649,7,도봉산,3,0085-381,"장암 방면3-4, 1F-2F",1F-2F
650,7,도봉산,4,0085-291,"수락산 방면4-2, 1F-2F",1F-2F
651,7,도봉산,5,0135-003,"1-1번 출구 측, B1-1F",B1-1F
652,7,수락산,1,0053-324,"1번 출구 측, B2-1F",B2-1F
653,7,마들,1,0017-182,"수락산 방면8-4, 노원 방면1-1 , B3-B1",B3-B1
654,7,마들,2,0053-180,"5번 출구 측, B1-1F",B1-1F
655,7,마들,3,0085-028,"4번 출구 측, B1-1F",B1-1F
656,7,마들,4,0085-029,"2번 출구 측, B1-1F",B1-1F
657,7,노원,1,0086-703,"마들 방면4-4, 중계 방면4-3, B3-B2-B1",B3-B2-B1
658,7,노원,2,0018-585,"3번 출구 측, B1-1F",B1-1F
659,7,노원,3,0094-686,"6번 출구 측, B1-1F",B1-1F
660,7,노원,4,0153-124,"5번 출구 측, B1-1F",B1-1F
661,7,중계,1,0015-704,"노원 방면5-1, 하계 방면4-4, B3-B2",B3-B2
662,7,중계,2,0019-485,"5번 출구 측, B2-1F",B2-1F
663,7,중계,3,0015-997,"3번 출구 측, B2-B1-1F",B2-B1-1F
664,7,하계,2,0017-579,"중계 방면4-4, 공릉 방면5-1, B3-B2-B1",B3-B2-B1
665,7,하계,3,0056-263,"1번 출구 측, B1-1F",B1-1F
666,7,하계,4,0085-031,"6번 출구 측, B1-1F",B1-1F
667,7,공릉,1,0015-705,"하계 방면8-4, B4-B2",B4-B2
668,7,공릉,2,0015-706,"태릉입구 방면1-1, B4-B1",B4-B1
669,7,공릉,3,0015-998,"2번 출구 측, B1-1F",B1-1F
670,7,태릉입구,1,0017-918,"공릉 방면6-4, B4-B1",B4-B1
671,7,태릉입구,2,0053-181,"먹골 방면3-1, B4-1F",B4-1F
672,7,먹골,1,0017-580,"태릉입구 방면4-4, B3-B2",B3-B2
673,7,먹골,2,0017-581,"중화 방면5-1, B3-B2",B3-B2
674,7,먹골,3,0018-261,"2번 출구 측, B2-B1-1F",B2-B1-1F
675,7,중화,1,0018-259,"먹골 방면4-4, B3-B2-B1",B3-B2-B1
676,7,중화,2,0018-260,"먹골 방면 5-1, B3-B2",B3-B2
677,7,중화,3,0056-268,"3번 출구 측, B1-1F",B1-1F
678,7,상봉,1,0019-106,"중화 방면3-2, B3-B2-B1",B3-B2-B1
679,7,상봉,2,0019-351,"면목 방면6-2, B3-B2-B1",B3-B2-B1
680,7,상봉,3,0016-030,"중화 방면4-2, B3-B2",B3-B2
681,7,상봉,4,0016-029,"면목 방면5-1, B3-B2",B3-B2
682,7,상봉,5,0019-486,"3번 출구 측, B1-1F",B1-1F
683,7,면목,1,0017-577,"상봉 방면4-4, B4-B3-B1",B4-B3-B1
684,7,면목,2,0017-578,"사가정 방면5-2, B4-B3",B4-B3
685,7,면목,3,0018-586,"3번 출구 측, B1-1F",B1-1F
686,7,사가정,1,0017-575,"면목 방면3-3, B4-B3",B4-B3
687,7,사가정,2,0017-576,"용마산 방면6-2, B4-B3-B1",B4-B3-B1
688,7,사가정,3,0052-631,"3번 출구 측, B1-1F",B1-1F
689,7,용마산,1,0017-574,"사가정 방면3-3, B4-B3",B4-B3
690,7,용마산,2,0017-573,"중곡 방면6-1, B4-B1",B4-B1
691,7,용마산,3,0018-587,"1번 출구 측, B1-1F-2F",B1-1F-2F
692,7,중곡,1,0005-633,"용마산 방면4-4, B3-B2",B3-B2
693,7,중곡,2,0005-634,"군자 방면5-1, B3-B2",B3-B2
694,7,중곡,3,0003-912,"1번 출구 측, B2-1F",B2-1F
695,7,군자,1,0094-111,"7번 출구 측, B1-1F",B1-1F
696,7,어린이대공원,1,0007-435,"군자 방면3-3, B3-B2-B1",B3-B2-B1
697,7,어린이대공원,2,0082-420,"건대입구 방면6-2, B3-B2-B1",B3-B2-B1
698,7,어린이대공원,3,0007-437,"1번 출구 측, B1-1F",B1-1F
699,7,어린이대공원,4,0051-898,"5번 출구 측, B1-1F",B1-1F
700,7,건대입구,1,0132-928,"어린이대공원 방면5-4, B3-B2",B3-B2
701,7,건대입구,2,0132-929,"뚝섬유원지 방면4-1, B3-B2",B3-B2
702,7,뚝섬유원지,1,0082-441,"1번 출구 측, 1F-2F",1F-2F
703,7,뚝섬유원지,2,0082-442,"건대입구 방면1-4, 2F-3F",2F-3F
704,7,뚝섬유원지,3,0082-443,"청담 방면7-4, 2F-3F",2F-3F
705,7,청담,1,0056-819,"5번 출구 측, B3-1F",B3-1F
706,7,청담,2,0045-844,"10번 출구 측, B3-1F",B3-1F
707,7,강남구청,1,0011-097,"청담 방면1-1, B3-B2",B3-B2
708,7,강남구청,2,0011-098,"학동 방면8-4, B3-B2",B3-B2
709,7,학동,1,0065-989,"강남구청 방면4-4, B3-B2",B3-B2
710,7,학동,2,0065-990,"논현 방면5-1, B3-B2",B3-B2
711,7,학동,3,0078-212,"3번 출구 측, B2-1F",B2-1F
712,7,논현,1,0057-897,"학동 방면7-4, B3-B2",B3-B2
713,7,논현,2,0057-898,"반포 방면2-1, B3-B2",B3-B2
714,7,논현,3,0012-777,"10번 출구 측, B2-1F",B2-1F
715,7,반포,1,0078-301,"논현 방면5-1, B3-B2",B3-B2
716,7,반포,2,0078-302,"고속터미널(7) 방면4-4, B3-B2",B3-B2
717,7,반포,3,0012-778,"6번 출구 측, B2-1F",B2-1F
718,7,반포,4,0077-428,"1번 출구 측, B2-1F",B2-1F
719,7,고속터미널,1,0009-821,"반포 방면3-3, B3-B2",B3-B2
720,7,고속터미널,2,0009-822,"내방 방면6-2, B3-B2",B3-B2
721,7,내방,1,0077-425,"고속터미널(7) 방면 5-2, B3-B2",B3-B2
722,7,내방,2,0077-426,"이수(7) 방면 4-2, B3-B2",B3-B2
723,7,내방,3,0077-427,"대합실(고객상담실 앞), B2-B1",B2-B1
724,7,내방,4,0012-779,"3번 출구 측, B1-1F",B1-1F
725,7,내방,5,0087-708,"5번 출구 측, B1-1F",B1-1F
726,7,이수,1,0063-029,"내방 방면4-2, B4-B3",B4-B3
727,7,이수,2,0063-030,"남성 방면5-3, B4-B3",B4-B3
728,7,이수,3,0063-031,"11번 출구 측, B3-1F",B3-1F
729,7,남성,1,0091-212,"이수(7) 방면6-2, B3-B2",B3-B2
730,7,남성,2,0091-213,"숭실대입구 방면3-3, B3-B2",B3-B2
731,7,남성,3,0091-214,"3번 출구 측, B2-B1-1F",B2-B1-1F
732,7,남성,4,0151-564,"2번 출구 측, B2-1F",B2-1F
733,7,숭실대입구,1,0060-933,"남성 방면6-1, B6-B2",B6-B2
734,7,숭실대입구,2,0060-934,"상도 방면3-3, B6-B2",B6-B2
735,7,숭실대입구,3,0060-935,"2번 출구 측, B2-1F",B2-1F
736,7,숭실대입구,4,0123-429,"3번 출구 측, B2-1F",B2-1F
737,7,상도,1,0021-574,"숭실대입구 방면4-4, B3-B2",B3-B2
738,7,상도,2,0021-575,"장승배기 방면4-4, B3-B2",B3-B2
739,7,상도,3,0021-576,"5번 출구 측, B2-1F",B2-1F
740,7,장승배기,1,0022-769,"상도 방면4-4, B3-B2",B3-B2
741,7,장승배기,2,0022-770,"신대방삼거리 방면4-4, B3-B2",B3-B2
742,7,장승배기,3,0022-771,"2번 출구 측, B2-1F",B2-1F
743,7,신대방삼거리,1,0022-772,"장승배기 방면4-4, B3-B2",B3-B2
744,7,신대방삼거리,2,0022-773,"보라매 방면4-4, B3-B2",B3-B2
745,7,신대방삼거리,3,0022-522,"대합실(고객상담실 옆), B2-B1",B2-B1
746,7,신대방삼거리,4,0022-774,"3번 출구 측, B1-1F",B1-1F
747,7,보라매,1,0021-025,"신풍 방면5-1, 신대방삼거리 방면4-4, B2-B1",B2-B1
748,7,보라매,2,0021-026,"6번 출구 측, B1-1F",B1-1F
749,7,신풍,1,0021-850,"보라매 방면5-4, B2-B1",B2-B1
750,7,신풍,2,0021-851,"대림(7) 방면4-1, B2-B1",B2-B1
751,7,신풍,3,0021-852,"4번 출구 측, B1-1F",B1-1F
752,7,신풍,4,0097-451,"5번 출구 측, B1-1F",B1-1F
753,7,대림,1,0020-631,"신풍 방면5-1, B2-B1",B2-B1
754,7,대림,2,0020-632,"남구로 방면4-4, B2-B1",B2-B1
755,7,대림,3,0020-633,"10번 출구 측, B1-1F",B1-1F
756,7,가산디지털단지,1,0021-021,"대림 방면5-4, B4-B3-B2",B4-B3-B2
757,7,가산디지털단지,2,0021-022,"철산 방면4-1, B4-B3-B2",B4-B3-B2
758,7,가산디지털단지,3,0021-023,"대합실(지하2층), B2-B1",B2-B1
759,7,가산디지털단지,4,0021-024,"6번 출구 측, B1-1F",B1-1F
760,7,철산,1,2026-968,"가산디지털단지 방면5-1, B2-B1",B2-B1
761,7,철산,2,2026-969,"광명사거리 방면4-4, B2-B1",B2-B1
762,7,철산,3,2026-970,"1번 출구 측, B1-1F",B1-1F
763,7,철산,4,2162-470,"4번 출구 측, B1-1F",B1-1F
764,7,광명사거리,1,2026-444,"천왕 방면2-1, B3-B2",B3-B2
765,7,광명사거리,2,2117-998,"2번 출구 측, B2-1F",B2-1F
766,7,천왕,1,0021-226,"광명사거리 방면5-1, B2-B1",B2-B1
767,7,천왕,2,0021-227,"온수 방면4-4, B2-B1",B2-B1
768,7,천왕,3,0025-776,"3번 출구 측, B1-1F",B1-1F
769,7,천왕,4,0122-484,"2번 출구 측, B1-1F",B1-1F
770,7,온수,1,0021-618,"천왕 방면4-4, B2-B1",B2-B1
771,7,온수,2,0021-619,"까치울 방면5-1, B2-B1",B2-B1
772,7,온수,3,0021-620,"2번 출구 측, B1-1F",B1-1F
773,8,암사,1,0066-066,"암사 방면3-4, B2-B1",B2-B1
774,8,암사,2,0066-067,"천호 방면4-1, B2-B1",B2-B1
775,8,암사,3,0079-858,"3,4번 출구 사이, B1-1F",B1-1F
776,8,천호,1,0077-988,"암사 방면2-2, B2-B1",B2-B1
777,8,천호,2,0077-989,"강동구청 방면5-4, B2-B1",B2-B1
778,8,강동구청,1,0077-745,"천호 방면4-2, B3-B2",B3-B2
779,8,강동구청,2,0077-746,"몽촌토성 방면 3-2,3-3 사이, B3-B2",B3-B2
780,8,강동구청,3,0009-742,"4번 출구 측, B2-1F",B2-1F
781,8,몽촌토성,1,0011-276,"강동구청 방면3-4, B3-B2",B3-B2
782,8,몽촌토성,2,0011-277,"잠실 방면3-4, B3-B2",B3-B2
783,8,몽촌토성,3,0011-278,"대합실(B2), B2-B1",B2-B1
784,8,몽촌토성,4,0075-711,"대합실(B1, 4번 출구 측 화장실 앞), B1-1F",B1-1F
785,8,잠실,1,0087-497,"몽촌토성 방면2-3, B3-B2-B1",B3-B2-B1
786,8,잠실,2,0087-498,"석촌 방면5-2, B3-B2-B1",B3-B2-B1
787,8,잠실,3,0087-499,"9번 출구 측, B1-1F",B1-1F
788,8,석촌,1,0075-712,"잠실 방면 3-4, B2-B1",B2-B1
789,8,석촌,2,0075-713,"송파 방면 4-1, B2-B1",B2-B1
790,8,석촌,3,0045-887,"1번 출구 측, B1-1F",B1-1F
791,8,송파,1,0087-791,"석촌 방면3-4, B2-B1",B2-B1
792,8,송파,2,0087-792,"가락시장 방면 3-4,4-1 사이, B2-B1",B2-B1
793,8,송파,3,0046-881,"1,2번 출구 사이, B1-1F",B1-1F
794,8,송파,4,0156-007,"4번 출구 측, B1-1F",B1-1F
795,8,가락시장,1,0078-551,"송파 방면5-4, B2-B1",B2-B1
796,8,가락시장,2,0078-553,"문정 방면2-3, B2-B1",B2-B1
797,8,가락시장,3,0078-555,"환승통로(모란방면), B3-B2",B3-B2
798,8,가락시장,4,0078-554,"환승통로(암사방면), B3-B2",B3-B2
799,8,가락시장,5,0075-714,"1,2번 출구 사이, B2-B1-1F",B2-B1-1F
800,8,가락시장,6,0078-552,"3,4번 출구 사이, B1-1F",B1-1F
801,8,문정,1,0077-747,"가락시장 방면3-4, B2-B1",B2-B1
802,8,문정,2,0077-748,"장지 방면4-1, B2-B1",B2-B1
803,8,문정,3,0009-743,"2번 출구 측, B1-1F",B1-1F
840,8,문정,4,0161-734,"4번 출구 측, B1-BM-1F",B1-BM-1F
805,8,장지,1,0077-861,"문정 방면4-1, B2-B1",B2-B1
806,8,장지,2,0077-862,"복정 방면3-4, B2-B1",B2-B1
807,8,장지,3,0009-744,"1번 출구 측, B1-1F",B1-1F
808,8,장지,4,0077-876,"3번 출구 측, B1-1F",B1-1F
809,8,복정,1,0011-754,"장지 방면4-1, 남위례 방면3-4, B3-B2-B1",B3-B2-B1
810,8,남위례,1,2249-470,"대합실(1번출구), 1F-2F",1F-2F
811,8,남위례,2,2249-471,"5번 출구 측, 1F-4F",1F-4F
812,8,남위례,3,2249-472,"산성 방면3-4, 2F-3F",2F-3F
813,8,산성,1,2024-722,"남위례 방면6-2, B3-B2",B3-B2
814,8,산성,2,2024-723,"남한산성입구 방면1-3, B3-B2",B3-B2
815,8,산성,3,2024-721,"대합실, B2-B1",B2-B1
816,8,산성,4,2075-288,"3번 출구 측, B1-1F",B1-1F
817,8,남한산성입구,1,2022-967,"산성 방면3-4, B3-B2",B3-B2
818,8,남한산성입구,2,2231-773,"단대오거리 방면4-1, B3-1F",B3-1F
819,8,단대오거리,1,2116-586,"남한산성입구 방면2-4, B3-B2-B1",B3-B2-B1
820,8,단대오거리,2,2116-587,"신흥 방면5-1, B3-B2-B1",B3-B2-B1
821,8,단대오거리,3,2116-588,"4번 출구 측, B1-1F",B1-1F
822,8,신흥,1,2022-969,"단대오거리 방면4-1, B2-B1",B2-B1
823,8,신흥,2,2022-970,"수진 방면3-4, B2-B1",B2-B1
824,8,수진,1,2116-589,"신흥 방면3-4, B2-B1",B2-B1
825,8,수진,2,2116-590,"모란 방면4-1, B2-B1",B2-B1
826,8,수진,3,2212-625,"3번 출구 측, B1-1F",B1-1F
827,8,모란,1,2116-583,"수진 방면5-2, B3-B2-B1",B3-B2-B1
828,8,모란,2,2116-584,"모란 방면2-3, B3-B2",B3-B2
829,8,모란,3,2116-585,"11번 출구 측, B1-1F",B1-1F
